E,D(E)
-0.999,1.48979e+229
-0.99509,1.90661e+229
-0.99118,-9.82804e+228
-0.98727,-1.13993e+229
-0.98336,-7.68075e+228
-0.97945,2.52025e+228
-0.97554,8.27004e+228
-0.97163,-4.74077e+228
-0.96772,-2.12206e+228
-0.96381,5.86025e+228
-0.9599,-6.6979e+228
-0.95599,6.29427e+228
-0.95208,-5.72769e+228
-0.94817,5.4138e+228
-0.94426,-5.38362e+228
-0.94035,5.46464e+228
-0.93644,-5.36219e+228
-0.93253,4.72651e+228
-0.92862,-3.27389e+228
-0.92471,9.78108e+227
-0.9208,1.73694e+228
-0.91689,-3.96283e+228
-0.91298,4.60587e+228
-0.90907,-3.03799e+228
-0.90516,-2.14738e+227
-0.90125,3.35132e+228
-0.897341,-4.21419e+228
-0.893431,1.94937e+228
-0.889521,1.86649e+228
-0.885611,-4.04127e+228
-0.881701,2.47584e+228
-0.877791,1.48829e+228
-0.873881,-3.86812e+228
-0.869971,2.02523e+228
-0.866061,2.08823e+228
-0.862151,-3.66801e+228
-0.858241,7.06113e+227
-0.854331,3.11098e+228
-0.850421,-2.75187e+228
-0.846511,-1.36017e+228
-0.842601,3.48929e+228
-0.838691,-5.28814e+227
-0.834781,-3.16905e+228
-0.830871,1.96947e+228
-0.826961,2.28798e+228
-0.823051,-2.81708e+228
-0.819141,-1.26347e+228
-0.815231,3.1707e+228
-0.811321,3.41584e+227
-0.807411,-3.20533e+228
-0.803501,3.76109e+227
-0.799591,3.08146e+228
-0.795681,-8.74855e+227
-0.791771,-2.91399e+228
-0.787861,1.17815e+228
-0.783951,2.7718e+228
-0.780041,-1.31767e+228
-0.776131,-2.68769e+228
-0.772221,1.31883e+228
-0.768311,2.66863e+228
-0.764401,-1.19639e+228
-0.760491,-2.70284e+228
-0.756581,9.55991e+227
-0.752671,2.76373e+228
-0.748761,-5.99117e+227
-0.744851,-2.81199e+228
-0.740941,1.30163e+227
-0.737031,2.79784e+228
-0.733121,4.35229e+227
-0.729211,-2.66542e+228
